"vin";"id";"unk"
0;0;0
0.001;4.794e-08;0
0.002;1.91742e-07;0
0.003;4.31492e-07;0
0.004;7.6731e-07;0
0.005;1.19936e-06;0
0.006;1.72787e-06;0
0.007;2.35309e-06;0
0.008;3.07534e-06;0
0.009;3.89497e-06;0
0.01;4.81241e-06;0
0.011;5.8281e-06;0
0.012;6.94256e-06;0
0.013;8.15635e-06;0
0.014;9.47006e-06;0
0.015;1.08844e-05;0
0.016;1.24e-05;0
0.017;1.40176e-05;0
0.018;1.57381e-05;0
0.019;1.75624e-05;0
0.02;1.94912e-05;0
0.021;2.15257e-05;0
0.022;2.36668e-05;0
0.023;2.59157e-05;0
0.024;2.82733e-05;0
0.025;3.0741e-05;0
0.026;3.33199e-05;0
0.027;3.60113e-05;0
0.028;3.88167e-05;0
0.029;4.17373e-05;0
0.03;4.47748e-05;0
0.031;4.79305e-05;0
0.032;5.12061e-05;0
0.033;5.46033e-05;0
0.034;5.81237e-05;0
0.035;6.17692e-05;0
0.036;6.55415e-05;0
0.037;6.94426e-05;0
0.038;7.34745e-05;0
0.039;7.76391e-05;0
0.04;8.19386e-05;0
0.041;8.63751e-05;0
0.042;9.0951e-05;0
0.043;9.56684e-05;0
0.044;0.00010053;0
0.045;0.000105538;0
0.046;0.000110695;0
0.047;0.000116003;0
0.048;0.000121466;0
0.049;0.000127086;0
0.05;0.000132866;0
0.051;0.000138809;0
0.052;0.000144918;0
0.053;0.000151195;0
0.054;0.000157645;0
0.055;0.000164271;0
0.056;0.000171075;0
0.057;0.000178062;0
0.058;0.000185234;0
0.059;0.000192597;0
0.06;0.000200152;0
0.061;0.000207905;0
0.062;0.000215859;0
0.063;0.000224018;0
0.064;0.000232387;0
0.065;0.00024097;0
0.066;0.00024977;0
0.067;0.000258794;0
0.068;0.000268044;0
0.069;0.000277527;0
0.07;0.000287247;0
0.071;0.000297209;0
0.072;0.000307417;0
0.073;0.000317878;0
0.074;0.000328597;0
0.075;0.00033958;0
0.076;0.000350831;0
0.077;0.000362357;0
0.078;0.000374164;0
0.079;0.000386257;0
0.08;0.000398644;0
0.081;0.00041133;0
0.082;0.000424323;0
0.083;0.000437628;0
0.084;0.000451253;0
0.085;0.000465205;0
0.086;0.000479491;0
0.087;0.000494119;0
0.088;0.000509096;0
0.089;0.00052443;0
0.09;0.000540129;0
0.091;0.0005562;0
0.092;0.000572654;0
0.093;0.000589498;0
0.094;0.00060674;0
0.095;0.00062439;0
0.096;0.000642458;0
0.097;0.000660952;0
0.098;0.000679882;0
0.099;0.000699259;0
0.1;0.000719092;0
0.101;0.000739391;0
0.102;0.000760168;0
0.103;0.000781433;0
0.104;0.000803198;0
0.105;0.000825473;0
0.106;0.000848271;0
0.107;0.000871603;0
0.108;0.000895482;0
0.109;0.00091992;0
0.11;0.00094493;0
0.111;0.000970526;0
0.112;0.00099672;0
0.113;0.00102353;0
0.114;0.00105096;0
0.115;0.00107903;0
0.116;0.00110776;0
0.117;0.00113716;0
0.118;0.00116725;0
0.119;0.00119804;0
0.12;0.00122955;0
0.121;0.00126179;0
0.122;0.00129478;0
0.123;0.00132855;0
0.124;0.0013631;0
0.125;0.00139845;0
0.126;0.00143463;0
0.127;0.00147166;0
0.128;0.00150954;0
0.129;0.00154831;0
0.13;0.00158798;0
0.131;0.00162857;0
0.132;0.00167011;0
0.133;0.00171262;0
0.134;0.00175611;0
0.135;0.00180061;0
0.136;0.00184616;0
0.137;0.00189276;0
0.138;0.00194044;0
0.139;0.00198923;0
0.14;0.00203916;0
0.141;0.00209025;0
0.142;0.00214252;0
0.143;0.00219601;0
0.144;0.00225074;0
0.145;0.00230674;0
0.146;0.00236404;0
0.147;0.00242267;0
0.148;0.00248267;0
0.149;0.00254405;0
0.15;0.00260686;0
0.151;0.00267112;0
0.152;0.00273688;0
0.153;0.00280416;0
0.154;0.002873;0
0.155;0.00294343;0
0.156;0.00301549;0
0.157;0.00308922;0
0.158;0.00316466;0
0.159;0.00324184;0
0.16;0.00332081;0
0.161;0.0034016;0
0.162;0.00348426;0
0.163;0.00356883;0
0.164;0.00365535;0
0.165;0.00374387;0
0.166;0.00383443;0
0.167;0.00392708;0
0.168;0.00402186;0
0.169;0.00411883;0
0.17;0.00421802;0
0.171;0.0043195;0
0.172;0.00442332;0
0.173;0.00452951;0
0.174;0.00463815;0
0.175;0.00474928;0
0.176;0.00486295;0
0.177;0.00497924;0
0.178;0.00509818;0
0.179;0.00521985;0
0.18;0.00534429;0
0.181;0.00547158;0
0.182;0.00560178;0
0.183;0.00573495;0
0.184;0.00587114;0
0.185;0.00601044;0
0.186;0.00615291;0
0.187;0.00629862;0
0.188;0.00644763;0
0.189;0.00660002;0
0.19;0.00675586;0
0.191;0.00691522;0
0.192;0.00707819;0
0.193;0.00724484;0
0.194;0.00741524;0
0.195;0.00758948;0
0.196;0.00776764;0
0.197;0.0079498;0
0.198;0.00813604;0
0.199;0.00832645;0
0.2;0.00852112;0
0.201;0.00872014;0
0.202;0.00892359;0
0.203;0.00913158;0
0.204;0.00934418;0
0.205;0.0095615;0
0.206;0.00978364;0
0.207;0.0100107;0
0.208;0.0102427;0
0.209;0.0104799;0
0.21;0.0107223;0
0.211;0.01097;0
0.212;0.0112231;0
